CommentrId,ComtDate,LikeNumberID
45843,3/4/2012 0:00,CM45843
45844,00:00.0,CM45844
45845,00:00.0,CM45845
45846,00:00.0,CM45846
45847,00:00.0,CM45847
45848,00:00.0,CM45848
45849,00:00.0,CM45849
45850,00:00.0,CM45850
45851,00:00.0,CM45851
45852,00:00.0,CM45852
45853,00:00.0,CM45853
45854,00:00.0,CM45854
45855,00:00.0,CM45855
45856,00:00.0,CM45856
45857,00:00.0,CM45857
45858,00:00.0,CM45858
45859,00:00.0,CM45859
45860,00:00.0,CM45860
45861,00:00.0,CM45861
45862,00:00.0,CM45862
45863,00:00.0,CM45863
45864,00:00.0,CM45864
45865,00:00.0,CM45865
45866,00:00.0,CM45866
45867,00:00.0,CM45867
45868,00:00.0,CM45868
45869,00:00.0,CM45869
45870,00:00.0,CM45870
45871,00:00.0,CM45871
45872,00:00.0,CM45872
45873,00:00.0,CM45873
45874,00:00.0,CM45874
45875,00:00.0,CM45875
45876,00:00.0,CM45876
45877,00:00.0,CM45877
45878,00:00.0,CM45878
45879,00:00.0,CM45879
45880,00:00.0,CM45880
45881,00:00.0,CM45881
45882,00:00.0,CM45882
45883,00:00.0,CM45883
45884,00:00.0,CM45884
45885,00:00.0,CM45885
45886,00:00.0,CM45886
45887,00:00.0,CM45887
45888,00:00.0,CM45888
45889,00:00.0,CM45889
45890,00:00.0,CM45890
45891,00:00.0,CM45891
45892,00:00.0,CM45892
45893,00:00.0,CM45893
45894,00:00.0,CM45894
45895,00:00.0,CM45895
45896,00:00.0,CM45896
45897,00:00.0,CM45897
45898,00:00.0,CM45898
45899,00:00.0,CM45899
45900,00:00.0,CM45900
45901,00:00.0,CM45901
45902,00:00.0,CM45902
45903,00:00.0,CM45903
45904,00:00.0,CM45904
45905,00:00.0,CM45905
45906,00:00.0,CM45906
45907,00:00.0,CM45907
45908,00:00.0,CM45908
45909,00:00.0,CM45909
45910,00:00.0,CM45910
45911,00:00.0,CM45911
45912,00:00.0,CM45912
45913,00:00.0,CM45913
45914,00:00.0,CM45914
45915,00:00.0,CM45915
45916,00:00.0,CM45916
45917,00:00.0,CM45917
45918,00:00.0,CM45918
45919,00:00.0,CM45919
45920,00:00.0,CM45920
45921,00:00.0,CM45921
45922,00:00.0,CM45922
45923,00:00.0,CM45923
45924,00:00.0,CM45924
45925,00:00.0,CM45925
45926,00:00.0,CM45926
45927,00:00.0,CM45927
45928,00:00.0,CM45928
45929,00:00.0,CM45929
45930,00:00.0,CM45930
45931,00:00.0,CM45931
45932,00:00.0,CM45932
45933,00:00.0,CM45933
45934,00:00.0,CM45934
45935,00:00.0,CM45935
45936,00:00.0,CM45936
45937,00:00.0,CM45937
45938,00:00.0,CM45938
45939,00:00.0,CM45939
45940,00:00.0,CM45940
45941,00:00.0,CM45941
45942,00:00.0,CM45942
45943,00:00.0,CM45943
45944,00:00.0,CM45944
45945,00:00.0,CM45945
45946,00:00.0,CM45946
45947,00:00.0,CM45947
45948,00:00.0,CM45948
45949,00:00.0,CM45949
45950,00:00.0,CM45950
45951,00:00.0,CM45951
45952,00:00.0,CM45952
45953,00:00.0,CM45953
45954,00:00.0,CM45954
45955,00:00.0,CM45955
45956,00:00.0,CM45956
45957,00:00.0,CM45957
45958,00:00.0,CM45958
45959,00:00.0,CM45959
45960,00:00.0,CM45960
45961,00:00.0,CM45961
45962,00:00.0,CM45962
45963,00:00.0,CM45963
45964,00:00.0,CM45964
45965,00:00.0,CM45965
45966,00:00.0,CM45966
45967,00:00.0,CM45967
45968,00:00.0,CM45968
45969,00:00.0,CM45969
45970,00:00.0,CM45970
45971,00:00.0,CM45971
45972,00:00.0,CM45972
45973,00:00.0,CM45973
45974,00:00.0,CM45974
45975,00:00.0,CM45975
45976,00:00.0,CM45976
45977,00:00.0,CM45977
45978,00:00.0,CM45978
45979,00:00.0,CM45979
45980,00:00.0,CM45980
45981,00:00.0,CM45981
45982,00:00.0,CM45982
45983,00:00.0,CM45983
45984,00:00.0,CM45984
45985,00:00.0,CM45985
45986,00:00.0,CM45986
45987,00:00.0,CM45987
45988,00:00.0,CM45988
45989,00:00.0,CM45989
45990,00:00.0,CM45990
45991,00:00.0,CM45991
45992,00:00.0,CM45992
45993,00:00.0,CM45993
45994,00:00.0,CM45994
45995,00:00.0,CM45995
45996,00:00.0,CM45996
45997,00:00.0,CM45997
45998,00:00.0,CM45998
45999,00:00.0,CM45999
46000,00:00.0,CM46000
46001,00:00.0,CM46001
46002,00:00.0,CM46002
46003,00:00.0,CM46003
46004,00:00.0,CM46004
46005,00:00.0,CM46005
46006,00:00.0,CM46006
46007,00:00.0,CM46007
46008,00:00.0,CM46008
46009,00:00.0,CM46009
46010,00:00.0,CM46010
46011,00:00.0,CM46011
46012,00:00.0,CM46012
46013,00:00.0,CM46013
46014,00:00.0,CM46014
46015,00:00.0,CM46015
46016,00:00.0,CM46016
46017,00:00.0,CM46017
46018,00:00.0,CM46018
46019,00:00.0,CM46019
46020,00:00.0,CM46020
46021,00:00.0,CM46021
46022,00:00.0,CM46022
46023,00:00.0,CM46023
46024,00:00.0,CM46024
46025,00:00.0,CM46025
46026,00:00.0,CM46026
46027,00:00.0,CM46027
46028,00:00.0,CM46028
46029,00:00.0,CM46029
46030,00:00.0,CM46030
46031,00:00.0,CM46031
46032,00:00.0,CM46032
46033,00:00.0,CM46033
46034,00:00.0,CM46034
46035,00:00.0,CM46035
46036,00:00.0,CM46036
46037,00:00.0,CM46037
46038,00:00.0,CM46038
46039,00:00.0,CM46039
46040,00:00.0,CM46040
46041,00:00.0,CM46041
46042,00:00.0,CM46042
46043,00:00.0,CM46043
46044,00:00.0,CM46044
46045,00:00.0,CM46045
46046,00:00.0,CM46046
46047,00:00.0,CM46047
46048,00:00.0,CM46048
46049,00:00.0,CM46049
46050,00:00.0,CM46050
46051,00:00.0,CM46051
46052,00:00.0,CM46052
46053,00:00.0,CM46053
46054,00:00.0,CM46054
46055,00:00.0,CM46055
46056,00:00.0,CM46056
46057,00:00.0,CM46057
46058,00:00.0,CM46058
46059,00:00.0,CM46059
46060,00:00.0,CM46060
46061,00:00.0,CM46061
46062,00:00.0,CM46062
46063,00:00.0,CM46063
46064,00:00.0,CM46064
46065,00:00.0,CM46065
46066,00:00.0,CM46066
46067,00:00.0,CM46067
46068,00:00.0,CM46068
46069,00:00.0,CM46069
46070,00:00.0,CM46070
46071,00:00.0,CM46071
46072,00:00.0,CM46072
46073,00:00.0,CM46073
46074,00:00.0,CM46074
46075,00:00.0,CM46075
46076,00:00.0,CM46076
46077,00:00.0,CM46077
46078,00:00.0,CM46078
46079,00:00.0,CM46079
46080,00:00.0,CM46080
46081,00:00.0,CM46081
46082,00:00.0,CM46082
46083,00:00.0,CM46083
46084,00:00.0,CM46084
46085,00:00.0,CM46085
46086,00:00.0,CM46086
46087,00:00.0,CM46087
46088,00:00.0,CM46088
46089,00:00.0,CM46089
46090,00:00.0,CM46090
46091,00:00.0,CM46091
46092,00:00.0,CM46092
46093,00:00.0,CM46093
46094,00:00.0,CM46094
46095,00:00.0,CM46095
46096,00:00.0,CM46096
46097,00:00.0,CM46097
46098,00:00.0,CM46098
46099,00:00.0,CM46099
46100,00:00.0,CM46100
46101,00:00.0,CM46101
46102,00:00.0,CM46102
46103,00:00.0,CM46103
46104,00:00.0,CM46104
46105,00:00.0,CM46105
46106,00:00.0,CM46106
46107,00:00.0,CM46107
46108,00:00.0,CM46108
46109,00:00.0,CM46109
46110,00:00.0,CM46110
46111,00:00.0,CM46111
46112,00:00.0,CM46112
46113,00:00.0,CM46113
46114,00:00.0,CM46114
46115,00:00.0,CM46115
46116,00:00.0,CM46116
46117,00:00.0,CM46117
46118,00:00.0,CM46118
46119,00:00.0,CM46119
46120,00:00.0,CM46120
46121,00:00.0,CM46121
46122,00:00.0,CM46122
46123,00:00.0,CM46123
46124,00:00.0,CM46124
46125,00:00.0,CM46125
46126,00:00.0,CM46126
46127,00:00.0,CM46127
46128,00:00.0,CM46128
46129,00:00.0,CM46129
46130,00:00.0,CM46130
46131,00:00.0,CM46131
46132,00:00.0,CM46132
46133,00:00.0,CM46133
46134,00:00.0,CM46134
46135,00:00.0,CM46135
46136,00:00.0,CM46136
46137,00:00.0,CM46137
46138,00:00.0,CM46138
46139,00:00.0,CM46139
46140,00:00.0,CM46140
46141,00:00.0,CM46141
46142,00:00.0,CM46142
46143,00:00.0,CM46143
46144,00:00.0,CM46144
46145,00:00.0,CM46145
46146,00:00.0,CM46146
46147,00:00.0,CM46147
46148,00:00.0,CM46148
46149,00:00.0,CM46149
46150,00:00.0,CM46150
46151,00:00.0,CM46151
46152,00:00.0,CM46152
46153,00:00.0,CM46153
46154,00:00.0,CM46154
46155,00:00.0,CM46155
46156,00:00.0,CM46156
46157,00:00.0,CM46157
46158,00:00.0,CM46158
46159,00:00.0,CM46159
46160,00:00.0,CM46160
46161,00:00.0,CM46161
46162,00:00.0,CM46162
46163,00:00.0,CM46163
46164,00:00.0,CM46164
46165,00:00.0,CM46165
46166,00:00.0,CM46166
46167,00:00.0,CM46167
46168,00:00.0,CM46168
46169,00:00.0,CM46169
46170,00:00.0,CM46170
46171,00:00.0,CM46171
46172,00:00.0,CM46172
46173,00:00.0,CM46173
46174,00:00.0,CM46174
46175,00:00.0,CM46175
46176,00:00.0,CM46176
46177,00:00.0,CM46177
46178,00:00.0,CM46178
46179,00:00.0,CM46179
46180,00:00.0,CM46180
46181,00:00.0,CM46181
46182,00:00.0,CM46182
46183,00:00.0,CM46183
46184,00:00.0,CM46184
46185,00:00.0,CM46185
46186,00:00.0,CM46186
46187,00:00.0,CM46187
46188,00:00.0,CM46188
46189,00:00.0,CM46189
46190,00:00.0,CM46190
46191,00:00.0,CM46191
46192,00:00.0,CM46192
46193,00:00.0,CM46193
46194,00:00.0,CM46194
46195,00:00.0,CM46195
46196,00:00.0,CM46196
46197,00:00.0,CM46197
46198,00:00.0,CM46198
46199,00:00.0,CM46199
46200,00:00.0,CM46200
46201,00:00.0,CM46201
46202,00:00.0,CM46202
46203,00:00.0,CM46203
46204,00:00.0,CM46204
46205,00:00.0,CM46205
46206,00:00.0,CM46206
46207,00:00.0,CM46207
46208,00:00.0,CM46208
46209,00:00.0,CM46209
46210,00:00.0,CM46210
46211,00:00.0,CM46211
46212,00:00.0,CM46212
46213,00:00.0,CM46213
46214,00:00.0,CM46214
46215,00:00.0,CM46215
46216,00:00.0,CM46216
46217,00:00.0,CM46217
46218,00:00.0,CM46218
46219,00:00.0,CM46219
46220,00:00.0,CM46220
46221,00:00.0,CM46221
46222,00:00.0,CM46222
46223,00:00.0,CM46223
46224,00:00.0,CM46224
46225,00:00.0,CM46225
46226,00:00.0,CM46226
46227,00:00.0,CM46227
46228,00:00.0,CM46228
46229,00:00.0,CM46229
46230,00:00.0,CM46230
46231,00:00.0,CM46231
46232,00:00.0,CM46232
46233,00:00.0,CM46233
46234,00:00.0,CM46234
46235,00:00.0,CM46235
46236,00:00.0,CM46236
46237,00:00.0,CM46237
46238,00:00.0,CM46238
46239,00:00.0,CM46239
46240,00:00.0,CM46240
46241,00:00.0,CM46241
46242,00:00.0,CM46242
46243,00:00.0,CM46243
46244,00:00.0,CM46244
46245,00:00.0,CM46245
46246,00:00.0,CM46246
46247,00:00.0,CM46247
46248,00:00.0,CM46248
46249,00:00.0,CM46249
46250,00:00.0,CM46250
46251,00:00.0,CM46251
46252,00:00.0,CM46252
46253,00:00.0,CM46253
46254,00:00.0,CM46254
46255,00:00.0,CM46255
46256,00:00.0,CM46256
46257,00:00.0,CM46257
46258,00:00.0,CM46258
46259,00:00.0,CM46259
46260,00:00.0,CM46260
46261,00:00.0,CM46261
46262,00:00.0,CM46262
46263,00:00.0,CM46263
46264,00:00.0,CM46264
46265,00:00.0,CM46265
46266,00:00.0,CM46266
46267,00:00.0,CM46267
46268,00:00.0,CM46268
46269,00:00.0,CM46269
46270,00:00.0,CM46270
46271,00:00.0,CM46271
46272,00:00.0,CM46272
46273,00:00.0,CM46273
46274,00:00.0,CM46274
46275,00:00.0,CM46275
46276,00:00.0,CM46276
46277,00:00.0,CM46277
46278,00:00.0,CM46278
46279,00:00.0,CM46279
46280,00:00.0,CM46280
46281,00:00.0,CM46281
46282,00:00.0,CM46282
46283,00:00.0,CM46283
46284,00:00.0,CM46284
46285,00:00.0,CM46285
46286,00:00.0,CM46286
46287,00:00.0,CM46287
46288,00:00.0,CM46288
46289,00:00.0,CM46289
46290,00:00.0,CM46290
46291,00:00.0,CM46291
46292,00:00.0,CM46292
46293,00:00.0,CM46293
46294,00:00.0,CM46294
46295,00:00.0,CM46295
46296,00:00.0,CM46296
46297,00:00.0,CM46297
46298,00:00.0,CM46298
46299,00:00.0,CM46299
46300,00:00.0,CM46300
46301,00:00.0,CM46301
46302,00:00.0,CM46302
46303,00:00.0,CM46303
46304,00:00.0,CM46304
46305,00:00.0,CM46305
46306,00:00.0,CM46306
46307,00:00.0,CM46307
46308,00:00.0,CM46308
46309,00:00.0,CM46309
46310,00:00.0,CM46310
46311,00:00.0,CM46311
46312,00:00.0,CM46312
46313,00:00.0,CM46313
46314,00:00.0,CM46314
46315,00:00.0,CM46315
46316,00:00.0,CM46316
46317,00:00.0,CM46317
46318,00:00.0,CM46318
46319,00:00.0,CM46319
46320,00:00.0,CM46320
46321,00:00.0,CM46321
46322,00:00.0,CM46322
46323,00:00.0,CM46323
46324,00:00.0,CM46324
46325,00:00.0,CM46325
46326,00:00.0,CM46326
46327,00:00.0,CM46327
46328,00:00.0,CM46328
46329,00:00.0,CM46329
46330,00:00.0,CM46330
46331,00:00.0,CM46331
46332,00:00.0,CM46332
46333,00:00.0,CM46333
46334,00:00.0,CM46334
46335,00:00.0,CM46335
46336,00:00.0,CM46336
46337,00:00.0,CM46337
46338,00:00.0,CM46338
46339,00:00.0,CM46339
46340,00:00.0,CM46340
46341,00:00.0,CM46341
46342,00:00.0,CM46342
46343,00:00.0,CM46343
46344,00:00.0,CM46344
46345,00:00.0,CM46345
46346,00:00.0,CM46346
46347,00:00.0,CM46347
46348,00:00.0,CM46348
46349,00:00.0,CM46349
46350,00:00.0,CM46350
46351,00:00.0,CM46351
46352,00:00.0,CM46352
46353,00:00.0,CM46353
46354,00:00.0,CM46354
46355,00:00.0,CM46355
46356,00:00.0,CM46356
46357,00:00.0,CM46357
46358,00:00.0,CM46358
46359,00:00.0,CM46359
46360,00:00.0,CM46360
46361,00:00.0,CM46361
46362,00:00.0,CM46362
46363,00:00.0,CM46363
46364,00:00.0,CM46364
46365,00:00.0,CM46365
46366,00:00.0,CM46366
46367,00:00.0,CM46367
46368,00:00.0,CM46368
46369,00:00.0,CM46369
46370,00:00.0,CM46370
46371,00:00.0,CM46371
46372,00:00.0,CM46372
46373,00:00.0,CM46373
46374,00:00.0,CM46374
46375,00:00.0,CM46375
46376,00:00.0,CM46376
46377,00:00.0,CM46377
46378,00:00.0,CM46378
46379,00:00.0,CM46379
46380,00:00.0,CM46380
46381,00:00.0,CM46381
46382,00:00.0,CM46382
46383,00:00.0,CM46383
46384,00:00.0,CM46384
46385,00:00.0,CM46385
46386,00:00.0,CM46386
46387,00:00.0,CM46387
46388,00:00.0,CM46388
46389,00:00.0,CM46389
