movieId,title,genres
1,Toy Story _1995_,AdvaAniaChiaCmdaFan
2,Jumanji _1995_,AdvaChiaFan
3,Grumpier Old Men _1995_,CmdaRom
4,Waiting to Exhale _1995_,CmdaDramaaRom
5,Father of the Bride Part II _1995_,Cmd
6,Heat _1995_,ActionaCriaThi
7,Sabrina _1995_,CmdaRom
8,Tom and Huck _1995_,AdvaChi
9,Sudden Death _1995_,Action
10,GoldenEye _1995_,ActionaAdvaThi
11,American President_ The _1995_,CmdaDramaaRom
12,Dracula_ Dead and Loving It _1995_,CmdaHorror
13,Balto _1995_,AdvaAniaChi
14,Nixon _1995_,Drama
15,Cutthroat Island _1995_,ActionaAdvaRom
16,Casino _1995_,CriaDrama
17,Sense and Sensibility _1995_,DramaaRom
18,Four Rooms _1995_,Cmd
19,Ace Ventura_ When Nature Calls _1995_,Cmd
20,Money Train _1995_,ActionaCmdaCriaDramaaThi
21,Get Shorty _1995_,CmdaCriaThi
22,Copycat _1995_,CriaDramaaHorroraMysteryaThi
23,Assassins _1995_,ActionaCriaThi
24,Powder _1995_,DramaaSci-Fi
25,Leaving Las Vegas _1995_,DramaaRom
26,Othello _1995_,Drama
27,Now and Then _1995_,ChiaDrama
28,Persuasion _1995_,DramaaRom
29,City of Lost Chi_ The _Cité des enfants perdus_ La_ _1995_,AdvaDramaaFanaMysteryaSci-Fi
30,Shanghai Triad _Yao a yao yao dao waipo qiao_ _1995_,CriaDrama
31,Dangerous Minds _1995_,Drama
32,Twelve Monkeys _a_k_a_ 12 Monkeys_ _1995_,MysteryaSci-FiaThi
34,Babe _1995_,ChiaDrama
36,Dead Man Walking _1995_,CriaDrama
38,It Takes Two _1995_,ChiaCmd
39,Clueless _1995_,CmdaRom
40,Cry_ the Beloved Country _1995_,Drama
41,Richard III _1995_,DramaaWar
42,Dead Presidents _1995_,ActionaCriaDrama
43,Restoration _1995_,Drama
44,Mortal Kombat _1995_,ActionaAdvaFan
45,To Die For _1995_,CmdaDramaaThi
46,How to Make an American Quilt _1995_,DramaaRom
47,Seven _a_k_a_ Se7en_ _1995_,MysteryaThi
48,Pocahontas _1995_,AniaChiaDramaaMusicalaRom
49,When Night Is Falling _1995_,DramaaRom
50,Usual Suspects_ The _1995_,CriaMysteryaThi
